vpu,à,SEà?,?,SE?,RMSE,r2,n,Fit
1,2.79,1.2,0.37,0.046,0.146,0.6,45,G
2,2.57,1.09,0.38,0.025,0.141,0.75,77,G
3,2.4,1.11,0.36,0.032,0.153,0.68,60,G
4,2.45,1.16,0.33,0.037,0.177,0.62,53,G
5,3.02,1.08,0.33,0.021,0.133,0.77,80,G
6,1.97,1.17,0.44,0.06,0.154,0.68,27,G
7,1.92,1.13,0.37,0.03,0.191,0.62,93,M
8,2.95,1.14,0.27,0.035,0.128,0.67,30,G
9,2.27,1.37,0.23,0.046,0.138,0.43,36,P
10,2.33,1.1,0.23,0.017,0.262,0.37,317,P
11,3.43,1.19,0.23,0.035,0.257,0.38,72,P
12,3.21,1.21,0.24,0.044,0.165,0.57,25,G
13,2.17,1.56,0.14,0.116,0.292,0.1,15,P
14,2.99,1.19,0.22,0.036,0.246,0.34,72,P
15,2.81,1.23,0.26,0.039,0.245,0.42,61,P
16,2.11,1.12,0.28,0.027,0.234,0.57,84,M
17,2,1.08,0.34,0.023,0.252,0.43,270,P
10,2.49,1.08,0.27,0.022,0.188,0.48,171,P
