Landscape Metrics,Units,Class,Metric Type,Scale,Reference,StreamCat Table Name
"PctUrbAg2006CatBf600, PctUrbAg2006WsBf600 - % of the local catchment (Cat) and upstream watershed (Ws) classified as urban and agricultural land uses within a 600-m wide buffer of the NHD stream lines (Rp100). Derived as the intersection between RipBuf100 and nlcd2006.tif (classes 21-24 and 81-82) landscape layers.",%,Disturbance,Ag/Urban,Riparian,Falcone et al. 2010,NLCD2006LnBf600_
"PctUrbAg2011CatBf600, PctUrbAg2011WsBf600 - % of the local catchment (Cat) and upstream watershed (Ws) classified as urban and agricultural land uses within a 600-m wide buffer of the NHD stream lines (Rp100). Derived as the intersection between RipBuf100 and nlcd2011.tif (classes 21-24 and 81-82) landscape layers.",%,Disturbance,Ag/Urban,Riparian,"Homer, C.G., Dewitz, J.A., Yang, L., Jin, S., Danielson, P., Xian, G., Coulston, J., Herold, N.D., Wickham, J.D., and Megown, K., 2015, Completion of the 2011 National Land Cover Database for the conterminous United States-Representing a decade of land cover change information. Photogrammetric Engineering and Remote Sensing, v. 81, no. 5, p. 345-354 ",NLCD2011LnBf600_
"PctUrbAg2001CatBf600, PctUrbAg2001WsBf600 - % of the local catchment (Cat) and upstream watershed (Ws) classified as urban and agricultural land uses within a 600-m wide buffer of the NHD stream lines (Rp100). Derived as the intersection between RipBuf100 and nlcd2001.tif (classes 21-24 and 81-82) landscape layers.",%,Disturbance,Ag/Urban,Riparian,"Homer, C., Dewitz, J., Fry, J., Coan, M., Hossain, N., Larson, C., Herold, N., McKerrow, A., VanDriel, J.N., and Wickham, J. 2007. Completion of the 2001 National Land Cover Database for the Conterminous United States. Photogrammetric Engineering and Remote Sensing, Vol. 73, No. 4, pp 337-341. ",NLCD2001LnBf600_
"PctCrop2006Cat, PctCrop2006Ws – % of the local catchment (Cat) and upstream watershed (Ws) areas classified as row crop land use. Derived from the nlcd2006.tif  (class 82) landscape raster.",%,Disturbance,Agriculture,Watershed,Wang et al. 2011,NLCD2006_
"PctHay2006Cat, PctHay2006Ws – % of the local catchment (Cat) and upstream watershed (Ws) areas classified as pasture/hay land use. Derived from the nlcd2006.tif  (class 81) landscape raster.",%,Disturbance,Agriculture,Watershed,Wang et al. 2011,NLCD2006_
"PctHay2006CatRp100, PctHay2006WsRp100 - % of the local catchment (Cat) and upstream watershed (Ws) classified as pasture/hay land use within a 100-m wide buffer of the NHD stream lines (Rp100). Derived as the intersection between RipBuf100 and nlcd2006.tif (class 81) landscape layers.",%,Disturbance,Agriculture,Riparian,Wang et al. 2011,NLCD2006_RipBuf100_
"PctAg2006Slp10Cat, PctAg2006Slp10Ws – % of the local catchment (Cat), and upstream watershed (Ws) classified as agriculture (NLCD classes 81 and 82) occurring on slopes ?10%. Derived from the intersection of midslope_mask.tif with nlcd2006.tif (classes 81 and 82) .",%,Disturbance,Agriculture,Watershed,Carlisle et al. 2009,AgMidHiSlopes_
"PctAg2006Slp20Cat, PctAg2006Slp20Ws – % of the local catchment (Cat), and upstream watershed (Ws) classified as agriculture (NLCD classes 81 and 82) occurring on slopes ?10%. Derived from the intersection of hislope_mask.tif with nlcd2006.tif (classes 81 and 82) .",%,Disturbance,Agriculture,Watershed,Carlisle et al. 2009,AgMidHiSlopes_
"PctCrop2011Cat, PctCrop2011Ws – % of the local catchment (Cat) and upstream watershed (Ws) areas classified as row crop land use. Derived from the nlcd2011.tif  (class 82) landscape raster.",%,Disturbance,Agriculture,Watershed,"Homer, C.G., Dewitz, J.A., Yang, L., Jin, S., Danielson, P., Xian, G., Coulston, J., Herold, N.D., Wickham, J.D., and Megown, K., 2015, Completion of the 2011 National Land Cover Database for the conterminous United States-Representing a decade of land cover change information. Photogrammetric Engineering and Remote Sensing, v. 81, no. 5, p. 345-354 ",NLCD2011_
"PctHay2011Cat, PctHay2011Ws – % of the local catchment (Cat) and upstream watershed (Ws) areas classified as pasture/hay land use. Derived from the nlcd2011.tif  (class 81) landscape raster.",%,Disturbance,Agriculture,Watershed,"Homer, C.G., Dewitz, J.A., Yang, L., Jin, S., Danielson, P., Xian, G., Coulston, J., Herold, N.D., Wickham, J.D., and Megown, K., 2015, Completion of the 2011 National Land Cover Database for the conterminous United States-Representing a decade of land cover change information. Photogrammetric Engineering and Remote Sensing, v. 81, no. 5, p. 345-354 ",NLCD2011_
